"","LUAD16T","LUAD18T","LUAD1T","LUAD23T","PDO1","PDO2","PDO4","PDO5","PDO6","PDO23_MDO1_DIAPH","PDO23_MDO1_Liver","PDO23_MDO2_Brain","PDO6_MDO_Brain","PDO23_MDO3_GB"
"DANCR",4.70833012324458,5.57464297263675,4.13486030358241,3.38197474363077,6.06976465765277,5.80230780729259,5.57631371514688,6.73476102354888,4.45691168422852,3.60532532403953,4.55358477882089,3.57661804913864,5.87026203760493,4.55060977135992
"CTD-2328D6.1",8.75417611781588,7.25804905185965,8.49902804829638,0.80571793756088,6.37052238506982,6.79869827870415,7.58287916229918,7.5665906970277,7.01217940016039,0,0,0,7.28980594793269,0
"COX6A1P2",0.400852401752522,0.656288819118058,0.481343008956983,2.19864318274568,0.417436450404331,0.379025237951983,0.415396375277575,3.24738014025327,0.512524566880252,1.45504370161753,1.77088364600882,1.15543982576052,0.561982863832617,1.69973608042767
"LTA",2.77510356973477,1.18730468557869,2.69567983193147,1.15977480093096,0,0.0841902626779583,0,0,0,0,0.38735725844994,0.233103096318009,0,0.134558978705204
"RP3-417G15.1",0.714202004698451,1.05444080842799,0.611698223913443,3.52007222793267,0.0937095162488722,0.310770906596785,0.485836963882074,0.498196142841656,0.314684473678615,1.45504370161753,1.05518401669803,0.609831494124346,0.74882538202503,0.983730120795901
"LINC00511",3.4917515640302,3.80715807195475,4.16702278726938,3.00564165834763,4.26708958676358,4.54190797691842,5.4231858414852,5.49870583219789,4.64081852645605,3.64048886787434,3.8529101451777,3.87559379641928,4.37380819422076,3.91428081738574
"AC005077.12",0.400852401752522,0,0.17889207320421,0.676639645285526,0.0937095162488722,0.56631896064778,0.848634846624772,1.2140181846501,1.22685859061948,0.238995363840667,1.45696706753193,0.553485856539404,0.267987837756502,0.476152232510197
"ITGB2-AS1",4.32027163166919,2.66322532634585,3.88063442252843,3.34528129604859,3.76731216530458,4.36808897782893,3.58627794317232,0,0.314684473678615,1.13824894568437,0.944098025655601,1.57889859934082,0.806090163404083,0.371025241097759
"C14orf132",3.71928584329139,3.73301197860959,3.31860123702972,2.90837761851791,4.34061217369898,5.11985536968906,2.69423540615114,1.57518781983305,1.85606972386393,2.1053853409058,0.206640230328508,3.23531276187895,4.41580466943641,1.18322823237317
"WDR46",5.79932397498639,6.91213689017154,5.50953108147077,6.55998621483657,5.76606300656114,5.77565263852854,5.99840376160364,5.85593007017964,5.60078188453509,6.20415726467841,6.8090920472362,6.74035597911205,5.55865807664579,6.6886875567251
"RPL41P1",6.48090083993702,6.65430887439461,6.5135496369513,0.377630400875937,6.07981931520101,5.99676920876467,6.08320788465448,6.41732979613363,5.59533713600385,2.52217910917425,2.01028557659969,2.11498196750354,6.31572971263693,2.80983977063045
"RP3-340N1.2",3.73672161981194,4.39819166538573,4.85733478922136,0,1.18592911019512,2.08576430853313,0.737539752921527,1.92775830765587,0.0853361371976125,0,0,0,0.267987837756502,0
